ds,yhat,yhat_lower,yhat_upper
2010-02-05,31330.976023286807,23606.913293024634,39570.4948266109
2010-02-12,37469.50398763652,29647.400615365656,45166.75873544482
2010-02-19,35996.308445201306,28070.738424250736,44100.03411753161
2010-02-26,27932.81032762958,20418.363590593388,35932.85113676561
2010-03-05,19073.944893679978,10777.056222571402,26673.760353307884
2010-03-12,15868.56040855369,8253.03692505964,23436.152138524005
2010-03-19,20341.24934009595,12840.966578625843,28137.5919615962
2010-03-26,28730.053651155256,20613.33055057905,36880.33112536267
2010-04-02,35091.3709013785,27545.64293273562,42844.810201422
2010-04-09,36204.05063648584,28560.072625850855,44638.11717341922
2010-04-16,33130.11482296565,25362.3787149856,40564.08397562065
2010-04-23,28730.559376050387,20422.33473843474,36925.10473092384
2010-04-30,24606.30371839846,16223.182746560527,32761.822126602856
2010-05-07,20710.109397129592,12616.636794881468,28670.52001950868
2010-05-14,17089.415769167652,9191.902156781583,25414.763922973507
2010-05-21,14796.57140684501,6570.625190389314,23027.091745660924
2010-05-28,14681.787705244562,6350.125047064859,23081.426971918998
2010-06-04,15947.574950997638,8080.041556125418,23347.59202001356
2010-06-11,16716.377053678865,8664.562230953317,24236.027732948427
2010-06-18,16086.132978186186,7395.842759452542,23552.23083671087
2010-06-25,15047.81983441188,7229.076245267428,22633.25982254673
2010-07-02,15056.190950469416,6619.952991429024,22411.389344851694
2010-07-09,16100.68499254077,8185.365197202802,23992.493565230827
2010-07-16,16761.37809751572,9373.554581072372,24745.644752709275
2010-07-23,16109.63541979191,8030.953974217117,24193.178247713928
2010-07-30,14903.476730855613,6883.306062197778,23257.520365369255
2010-08-06,14521.32308498886,6572.86974105754,22511.49554499268
2010-08-13,15133.244376993658,6889.385336873639,22768.459921801666
2010-08-20,15620.691388539894,7715.710097432724,23015.24602764216
2010-08-27,15334.472641790193,7507.915109614081,23453.564087335395
2010-09-03,15183.513678382382,7057.898330980195,23519.04436197626
2010-09-10,16384.46875123138,8476.341422048908,24024.810823693457
2010-09-17,18505.12631598306,10629.493961398364,26271.17949857779
2010-09-24,19718.412691174293,11855.853914903411,27291.872131854136
2010-10-01,19383.503661901876,11602.065240499662,27454.436499913867
2010-10-08,19613.706931372897,11314.051766178414,26959.40154711707
2010-10-15,23157.97183850295,15644.806359275253,31134.57390268569
2010-10-22,29488.646277754655,21726.43608894735,37140.84570060137
2010-10-29,33928.77502883183,25664.937137021952,41833.55087984888
2010-11-05,31815.370371226025,23919.061207597246,39697.617074318245
2010-11-12,23824.763302016865,16770.66671281827,32303.238838644636
2010-11-19,16538.948286331273,8390.276741791335,24563.096431230508
