Dept,Avg_Weekly_Demand,MAE,MAPE_%
92,79609.58,2276.26,2.89
95,73639.28,2609.79,3.57
38,60191.04,1799.63,3.01
72,43753.45,3407.58,7.73
90,48264.08,2681.83,5.8
40,45186.0,808.81,1.79
2,43889.44,997.63,2.21
91,34484.52,1055.96,3.13
13,30254.59,1275.19,3.98
8,30391.63,631.67,2.05
94,34984.04,1973.27,5.93
4,26713.11,527.26,1.95
93,27779.62,985.23,3.48
7,19689.73,1651.96,8.19
79,21878.18,661.67,3.05
23,21831.4,1594.89,6.65
5,17537.29,2475.72,15.31
9,23127.38,1000.03,4.2
46,19605.77,596.77,2.97
1,17335.41,1019.07,5.18
10,19283.32,807.42,4.19
