ds,y,xgb_pred
2012-06-22,16633.41,17243.78
2012-06-29,15722.82,16325.48
2012-07-06,17823.37,16328.33
2012-07-13,16566.18,17762.307
2012-07-20,16348.06,16134.326
2012-07-27,15731.18,16098.917
2012-08-03,16628.31,15927.022
2012-08-10,16119.92,15511.591
2012-08-17,17330.7,15464.189
2012-08-24,16286.4,15560.6455
2012-08-31,16680.24,16253.087
2012-09-07,18322.37,16586.768
2012-09-14,19616.22,19297.623
2012-09-21,19251.5,18072.516
2012-09-28,18947.81,18944.875
2012-10-05,21904.47,21368.525
2012-10-12,22764.01,26694.133
2012-10-19,24185.27,25527.955
2012-10-26,27390.81,31776.527
